browser,city,datetime,ip,method,module
firefox,倩市,2019-05-21 02:54:01,169.253.193.81,post,任务列表
chrome,颖市,2019-05-21 10:33:04,202.112.176.9,post,个人信息
firefox,南京市,2019-05-21 10:43:27,192.0.86.164,get,主页
firefox,龙县,2019-05-29 03:13:32,192.172.71.27,option,项目列表
safari,颖市,2019-05-28 15:22:33,169.242.249.63,post,任务详情
safari,倩市,2019-05-26 13:09:06,192.175.169.242,post,任务列表
firefox,东莞县,2019-05-19 21:22:01,197.154.176.98,post,个人信息
firefox,巢湖县,2019-05-29 19:03:35,169.255.215.157,get,项目详情
ie,伟县,2019-05-27 09:30:57,7.216.233.147,option,任务详情
chrome,倩市,2019-05-21 21:05:42,192.88.156.255,get,主页
chrome,颖市,2019-05-22 18:09:22,192.175.38.219,put,主页
safari,玉英县,2019-05-25 13:01:04,197.154.176.98,get,任务列表
chrome,华市,2019-05-28 13:18:19,57.126.171.51,post,项目列表
chrome,玉英县,2019-05-22 09:35:49,192.0.3.183,post,任务列表
firefox,玉英县,2019-05-29 13:39:49,192.175.58.238,put,任务列表
firefox,南京市,2019-05-23 02:47:40,192.31.197.204,delete,主页
chrome,华县,2019-05-25 11:34:54,192.0.11.58,option,任务详情
chrome,汕尾县,2019-05-20 11:16:26,192.91.130.219,post,任务列表
ie,宜都市,2019-05-24 03:53:17,169.255.140.124,get,项目列表
chrome,利县,2019-05-25 02:49:12,192.91.20.221,option,个人信息
firefox,想县,2019-05-22 15:46:17,192.88.156.255,option,任务详情
chrome,汕尾县,2019-05-21 09:15:32,192.88.66.73,option,主页
ie,北京县,2019-05-20 11:02:16,203.6.167.148,get,主页
chrome,潜江县,2019-05-27 03:20:37,192.83.9.215,delete,任务详情
firefox,建军县,2019-05-25 19:03:24,192.174.91.31,option,任务列表
safari,乌鲁木齐县,2019-05-21 14:32:36,216.111.3.86,delete,项目详情
chrome,颖市,2019-05-24 22:44:42,169.242.249.63,delete,主页
safari,北京县,2019-05-26 09:21:25,192.31.216.190,delete,个人信息
safari,颖市,2019-05-21 21:10:30,192.53.2.210,delete,项目详情
chrome,利县,2019-05-20 18:15:14,192.91.130.219,post,任务列表
firefox,颖市,2019-05-20 10:58:42,198.51.101.90,option,任务详情
chrome,乌鲁木齐县,2019-05-29 10:31:14,192.0.53.46,delete,任务列表
ie,玉英县,2019-05-21 05:27:41,192.54.169.39,option,任务列表
firefox,龙县,2019-05-23 09:58:43,198.50.75.135,put,项目详情
safari,龙县,2019-05-27 11:13:30,203.0.76.165,get,任务详情
ie,宜都市,2019-05-27 22:52:00,192.197.89.19,post,项目列表
safari,天津市,2019-05-21 16:18:38,192.168.121.59,delete,任务详情
firefox,玉英县,2019-05-24 01:57:07,198.51.232.199,put,项目详情
safari,建军县,2019-05-23 16:30:36,200.65.59.250,delete,主页
ie,巢湖县,2019-05-26 03:59:13,192.1.229.163,put,项目详情
safari,伟县,2019-05-19 22:50:32,200.238.69.190,option,个人信息
chrome,东莞县,2019-05-26 05:12:11,203.0.59.155,post,任务详情
chrome,倩市,2019-05-23 16:32:05,193.217.128.227,post,任务列表
safari,南京市,2019-05-29 17:47:03,198.51.108.180,delete,主页
ie,华市,2019-05-22 08:39:34,192.167.183.73,post,项目列表
ie,华市,2019-05-22 20:45:00,7.216.233.147,put,个人信息
firefox,南京市,2019-05-21 04:42:56,4.254.229.140,delete,项目列表
firefox,想县,2019-05-27 03:00:16,199.190.135.236,put,任务详情
chrome,乌鲁木齐县,2019-05-24 02:12:25,203.0.76.165,put,任务列表
safari,利县,2019-05-22 14:33:33,192.52.68.139,delete,项目列表
ie,颖市,2019-05-20 21:10:19,192.52.198.1,delete,任务详情
safari,东莞县,2019-05-20 10:32:34,57.126.171.51,get,个人信息
ie,潜江县,2019-05-21 09:43:28,57.126.171.51,get,个人信息
chrome,巢湖县,2019-05-29 19:54:42,192.52.252.250,option,个人信息
firefox,华县,2019-05-28 01:32:17,198.51.232.199,delete,项目列表
safari,潜江县,2019-05-23 08:52:02,192.52.192.218,option,个人信息
chrome,刚市,2019-05-21 19:54:44,169.201.129.49,option,任务详情
safari,利县,2019-05-26 07:25:31,200.238.69.190,delete,任务列表
safari,伟县,2019-05-27 08:22:49,192.88.57.235,post,任务详情
safari,潜江县,2019-05-25 04:46:44,192.94.13.134,put,个人信息
safari,华市,2019-05-20 22:50:36,192.91.20.221,get,任务列表
safari,潜江县,2019-05-23 14:39:52,203.98.157.202,option,项目列表
safari,伟县,2019-05-23 20:29:24,192.57.46.44,get,主页
chrome,华县,2019-05-23 15:54:43,192.167.183.73,option,任务详情
firefox,汕尾县,2019-05-23 05:57:52,192.52.143.214,delete,主页
firefox,颖市,2019-05-28 15:57:22,192.175.58.238,get,项目详情
safari,汕尾县,2019-05-28 12:55:16,192.52.252.250,delete,个人信息
ie,宜都市,2019-05-21 00:32:21,192.31.204.69,option,项目详情
firefox,东莞县,2019-05-21 14:54:58,203.0.112.147,option,主页
chrome,颖市,2019-05-20 18:19:48,192.54.169.39,option,项目详情
chrome,颖市,2019-05-27 00:11:07,192.0.11.58,delete,个人信息
firefox,玉英县,2019-05-28 22:01:06,192.175.13.165,post,任务列表
ie,乌鲁木齐县,2019-05-28 18:32:44,203.6.167.148,get,项目详情
safari,利县,2019-05-26 14:22:11,192.31.204.69,post,项目列表
safari,北京县,2019-05-28 22:35:48,192.52.252.250,get,主页
ie,建军县,2019-05-23 22:19:34,206.107.49.25,post,主页
safari,天津市,2019-05-27 01:45:11,175.83.83.87,post,主页
firefox,玉英县,2019-05-24 05:03:41,198.51.108.180,post,主页
firefox,倩市,2019-05-23 20:59:29,192.83.9.215,get,任务列表
firefox,潜江县,2019-05-26 15:34:09,192.83.9.215,delete,项目详情
chrome,东莞县,2019-05-24 00:46:01,192.88.104.231,delete,项目详情
firefox,龙县,2019-05-19 23:33:17,192.83.9.215,put,任务详情
firefox,巢湖县,2019-05-25 11:55:35,198.51.98.171,option,项目详情
ie,乌鲁木齐县,2019-05-21 18:29:48,57.126.171.51,post,任务详情
firefox,东莞县,2019-05-27 15:41:34,192.52.192.218,delete,项目详情
ie,龙县,2019-05-24 10:35:54,192.88.156.255,delete,个人信息
firefox,倩市,2019-05-29 00:57:02,192.49.28.87,put,任务详情
ie,龙县,2019-05-26 23:29:52,192.6.65.180,delete,个人信息
ie,建军县,2019-05-29 15:47:21,203.0.76.165,post,主页
chrome,伟县,2019-05-28 02:36:52,192.174.91.31,put,任务详情
ie,倩市,2019-05-29 09:43:58,202.112.176.9,delete,任务列表
ie,天津市,2019-05-27 11:13:59,192.93.129.42,option,项目列表
firefox,汕尾县,2019-05-20 00:36:00,169.230.50.203,delete,任务详情
safari,华市,2019-05-20 02:17:22,175.83.83.87,delete,主页
firefox,东莞县,2019-05-26 01:11:50,192.52.68.139,put,项目列表
safari,华市,2019-05-25 19:30:57,192.174.91.31,option,个人信息
safari,宜都市,2019-05-26 00:40:24,200.65.59.250,option,主页
ie,龙县,2019-05-27 04:33:09,192.3.52.74,post,任务详情
firefox,潜江县,2019-05-21 12:38:08,192.175.169.242,get,项目详情
firefox,建军县,2019-05-28 17:05:09,192.53.2.210,get,个人信息
firefox,乌鲁木齐县,2019-05-22 01:31:13,192.174.91.31,delete,个人信息
safari,南京市,2019-05-28 20:40:19,192.52.143.138,get,项目详情
chrome,华市,2019-05-27 07:02:35,192.175.169.242,get,项目列表
ie,倩市,2019-05-19 22:02:31,57.126.171.51,put,主页
ie,东莞县,2019-05-29 03:29:39,206.107.49.25,option,任务列表
chrome,伟县,2019-05-20 10:02:56,206.107.49.25,post,主页
firefox,建军县,2019-05-23 00:26:06,192.175.13.165,option,任务列表
chrome,南京市,2019-05-26 05:26:49,192.57.46.44,delete,项目列表
firefox,乌鲁木齐县,2019-05-23 05:38:56,212.5.96.172,option,任务详情
safari,乌鲁木齐县,2019-05-23 16:07:17,1.228.115.113,put,个人信息
ie,汕尾县,2019-05-27 16:59:02,192.88.104.231,option,任务列表
safari,倩市,2019-05-29 20:54:27,192.52.252.250,option,任务列表
chrome,南京市,2019-05-26 08:35:14,216.111.3.86,option,个人信息
safari,华市,2019-05-22 01:36:18,203.0.59.155,put,任务列表
safari,刚市,2019-05-27 16:14:37,192.52.198.1,option,项目列表
firefox,颖市,2019-05-28 16:04:29,121.106.8.72,delete,个人信息
safari,东莞县,2019-05-22 16:54:45,192.0.10.129,option,任务列表
firefox,华市,2019-05-29 11:36:43,192.175.58.238,post,个人信息
chrome,倩市,2019-05-23 19:12:58,216.111.3.86,get,个人信息
chrome,刚市,2019-05-28 14:49:16,198.50.60.244,delete,个人信息
ie,玉英县,2019-05-24 06:22:20,198.17.139.74,option,任务详情
firefox,伟县,2019-05-26 03:28:27,200.65.59.250,put,任务列表
chrome,利县,2019-05-20 09:44:45,212.5.96.172,post,项目详情
firefox,潜江县,2019-05-21 15:02:23,198.51.98.171,option,任务详情
chrome,东莞县,2019-05-20 06:37:53,203.0.112.147,option,任务详情
chrome,想县,2019-05-28 22:32:42,203.0.84.137,option,项目详情
firefox,龙县,2019-05-20 01:00:46,192.88.104.231,delete,个人信息
chrome,汕尾县,2019-05-20 21:31:23,169.242.249.63,delete,项目列表
safari,倩市,2019-05-27 18:25:00,192.175.169.242,post,任务列表
chrome,伟县,2019-05-22 09:52:31,192.52.201.75,delete,项目列表
ie,潜江县,2019-05-23 02:00:36,193.217.128.227,option,个人信息
firefox,巢湖县,2019-05-29 12:38:43,192.167.183.73,put,项目详情
firefox,天津市,2019-05-28 19:55:58,57.126.171.51,get,任务列表
chrome,乌鲁木齐县,2019-05-23 18:54:57,169.201.129.49,delete,主页
ie,乌鲁木齐县,2019-05-28 16:09:59,197.154.176.98,get,主页
chrome,北京县,2019-05-25 14:20:06,200.65.59.250,get,个人信息
chrome,东莞县,2019-05-26 12:05:53,192.88.96.161,delete,任务列表
ie,想县,2019-05-25 03:12:17,169.255.140.124,put,主页
firefox,南京市,2019-05-25 07:49:10,192.88.104.231,option,个人信息
firefox,华县,2019-05-22 20:19:41,192.88.127.141,get,项目详情
firefox,北京县,2019-05-20 12:13:08,200.65.59.250,post,项目详情
chrome,龙县,2019-05-21 05:01:16,192.0.10.129,delete,个人信息
chrome,玉英县,2019-05-22 09:14:04,192.0.86.164,put,项目详情
ie,华县,2019-05-22 07:31:44,198.17.139.74,option,任务列表
firefox,乌鲁木齐县,2019-05-23 01:14:53,192.141.156.158,post,个人信息
safari,伟县,2019-05-20 10:50:59,192.93.129.42,delete,个人信息
ie,华市,2019-05-29 05:46:39,198.17.139.74,put,项目列表
firefox,南京市,2019-05-26 20:51:22,192.88.127.141,post,任务列表
firefox,想县,2019-05-25 01:08:38,192.91.20.221,get,任务详情
safari,伟县,2019-05-27 11:10:13,55.128.250.95,option,个人信息
safari,宜都市,2019-05-27 16:27:14,192.31.211.99,put,项目详情
ie,华县,2019-05-22 12:36:30,4.254.229.140,put,主页
safari,宜都市,2019-05-28 13:17:35,192.175.58.238,put,项目列表
ie,宜都市,2019-05-22 00:23:06,216.111.3.86,delete,项目详情
firefox,汕尾县,2019-05-22 11:39:02,198.51.98.171,post,个人信息
chrome,巢湖县,2019-05-22 01:11:02,192.175.75.191,get,项目详情
ie,潜江县,2019-05-29 05:23:26,203.6.167.148,delete,个人信息
ie,玉英县,2019-05-21 16:46:59,169.230.50.203,option,任务列表
safari,刚市,2019-05-25 05:39:14,192.88.96.161,put,个人信息
firefox,利县,2019-05-27 09:54:00,192.31.178.28,delete,任务列表
firefox,华市,2019-05-23 00:58:56,192.91.20.221,post,项目列表
chrome,乌鲁木齐县,2019-05-23 11:51:32,199.190.135.236,post,主页
safari,宜都市,2019-05-20 21:27:54,198.51.232.199,get,任务详情
ie,华市,2019-05-23 17:27:21,192.56.204.58,delete,任务列表
ie,乌鲁木齐县,2019-05-25 13:44:26,192.141.156.158,put,任务列表
ie,乌鲁木齐县,2019-05-27 05:18:52,192.31.197.204,post,任务列表
safari,利县,2019-05-29 07:18:58,192.175.75.191,delete,项目列表
ie,潜江县,2019-05-29 02:43:25,192.0.86.164,option,任务详情
chrome,倩市,2019-05-21 11:59:59,192.52.152.30,get,项目详情
ie,颖市,2019-05-22 05:08:28,197.154.176.98,post,项目列表
ie,倩市,2019-05-27 21:28:06,198.51.232.199,post,项目详情
firefox,汕尾县,2019-05-23 22:39:58,192.56.204.58,post,任务详情
ie,刚市,2019-05-20 21:40:14,4.248.225.66,put,任务详情
safari,刚市,2019-05-23 05:23:00,192.31.211.99,put,个人信息
firefox,汕尾县,2019-05-25 06:05:25,199.190.135.236,option,任务列表
ie,南京市,2019-05-28 07:51:42,198.51.232.199,put,主页
safari,龙县,2019-05-25 07:21:03,192.3.52.74,option,主页
chrome,北京县,2019-05-19 23:52:22,169.192.168.56,put,项目列表
chrome,汕尾县,2019-05-23 10:34:59,203.0.112.147,option,项目详情
ie,华县,2019-05-28 14:29:40,192.3.52.74,put,项目列表
safari,华县,2019-05-26 12:46:30,1.228.115.113,put,个人信息
firefox,利县,2019-05-20 00:31:53,192.52.192.137,delete,任务详情
chrome,潜江县,2019-05-19 22:25:38,192.167.94.147,option,个人信息
chrome,宜都市,2019-05-28 08:00:09,192.52.152.30,put,项目详情
safari,倩市,2019-05-24 07:30:33,192.0.53.46,delete,项目列表
safari,乌鲁木齐县,2019-05-23 05:48:45,4.254.229.140,put,项目列表
safari,玉英县,2019-05-25 05:32:05,216.111.3.86,option,项目列表
firefox,玉英县,2019-05-25 00:01:08,4.254.229.140,put,任务列表
safari,北京县,2019-05-23 04:06:28,192.88.66.73,get,项目详情
ie,东莞县,2019-05-22 06:43:56,192.174.91.31,put,项目详情
safari,乌鲁木齐县,2019-05-29 03:56:05,192.0.1.59,put,项目列表
